week,home,home_score,away,away_score,winner,margin
1,The Union Strikes Back,131.02,Koo Koo's Nest,102.16,The Union Strikes Back,28.860000000000014
1,HallOfBass,103.16,Home Team,96.18,HallOfBass,6.97999999999999
1,Ragnar the Spoiled,101.82,Anzalone Hair Jealousy,102.28,Anzalone Hair Jealousy,0.46000000000000796
1,Thirst Down and 10,114.8,Go Go Gators,126.64,Go Go Gators,11.840000000000003
1,Team Hairy,116.32,Team Kolb,81.66,Team Hairy,34.66
1,The Separatists Rise Again ,120.56,For McCaffrey,157.78,For McCaffrey,37.22
1,Toddler Energy ,98.88,J-man’s team,84.44,Toddler Energy ,14.439999999999998
